时段序号,计划购电量_kWh,充电量_kWh,放电量_kWh,储电量_kWh
1,1406.6411,833.3333,0.0000,6750.0000
2,1406.3299,833.3333,0.0000,7500.0000
3,1407.3838,833.3333,0.0000,8250.0000
4,1409.0739,833.3333,0.0000,9000.0000
5,1409.8045,833.3333,0.0000,9750.0000
6,576.6400,0.0000,0.0000,9750.0000
7,577.8597,0.0000,0.0000,9750.0000
8,577.9939,0.0000,0.0000,9750.0000
9,911.1614,333.3333,0.0000,10050.0000
10,580.4154,0.0000,0.0000,10050.0000
11,582.5140,0.0000,0.0000,10050.0000
12,583.0740,0.0000,0.0000,10050.0000
13,584.2049,0.0000,0.0000,10050.0000
14,585.4398,0.0000,0.0000,10050.0000
15,586.1447,0.0000,0.0000,10050.0000
16,586.3208,0.0000,0.0000,10050.0000
17,586.4253,0.0000,0.0000,10050.0000
18,586.8496,0.0000,0.0000,10050.0000
19,587.8210,0.0000,0.0000,10050.0000
20,589.5476,0.0000,0.0000,10050.0000
21,590.8135,0.0000,0.0000,10050.0000
22,590.2131,0.0000,0.0000,10050.0000
23,591.0663,0.0000,0.0000,10050.0000
24,593.3678,0.0000,0.0000,10050.0000
25,593.6597,0.0000,0.0000,10050.0000
26,592.7864,0.0000,0.0000,10050.0000
27,593.3379,0.0000,0.0000,10050.0000
28,596.6758,0.0000,0.0000,10050.0000
29,597.7803,0.0000,0.0000,10050.0000
30,595.1625,0.0000,0.0000,10050.0000
31,590.6065,0.0000,0.0000,10050.0000
32,589.4852,0.0000,0.0000,10050.0000
33,578.4554,0.0000,0.0000,10050.0000
34,1383.6598,833.3333,0.0000,10800.0000
35,591.1402,0.0000,0.0000,10800.0000
36,0.0000,0.0000,668.2539,10057.4957
37,0.0000,0.0000,655.4553,9329.2120
38,0.0000,0.0000,616.5040,8644.2075
39,0.0000,0.0000,591.4545,7987.0359
40,0.0000,0.0000,557.4869,7367.6060
41,0.0000,0.0000,529.2397,6779.5619
42,0.0000,0.0000,502.4707,6221.2611
43,0.0000,0.0000,455.4436,5715.2127
44,0.0000,0.0000,410.0667,5259.5830
45,0.0000,0.0000,356.9968,4862.9199
46,0.0000,0.0000,283.3636,4548.0715
47,0.0000,0.0000,320.6841,4191.7558
48,0.0000,0.0000,418.4214,3726.8431
49,0.0000,0.0000,381.9108,3302.4978
50,0.0000,0.0000,309.5563,2958.5463
51,0.0000,0.0000,264.6194,2664.5247
52,0.0000,0.0000,213.7408,2427.0350
53,0.0000,0.0000,178.5589,2228.6362
54,0.0000,0.0000,155.3921,2055.9783
55,0.0000,0.0000,112.2595,1931.2455
56,0.0000,0.0000,64.3969,1859.6934
57,0.0000,0.0000,22.5622,1834.6242
58,0.0000,17.4241,0.0000,1850.3059
59,0.0000,52.8378,0.0000,1897.8599
60,0.0000,84.5624,0.0000,1973.9661
61,0.0000,116.9836,0.0000,2079.2513
62,0.0000,146.6606,0.0000,2211.2458
63,0.0000,173.5203,0.0000,2367.4141
64,0.0000,201.0291,0.0000,2548.3402
65,0.0000,225.4061,0.0000,2751.2057
66,0.0000,244.0093,0.0000,2970.8141
67,575.1709,833.3333,0.0000,3720.8141
68,0.0000,272.6315,0.0000,3966.1824
69,0.0000,284.3210,0.0000,4222.0713
70,179.2772,468.5786,0.0000,4643.7921
71,520.1245,833.3333,0.0000,5393.7921
72,486.4029,833.3333,0.0000,6143.7921
73,480.4124,833.3333,0.0000,6893.7921
74,485.3000,833.3333,0.0000,7643.7921
75,488.6070,833.3333,0.0000,8393.7921
76,498.2707,833.3333,0.0000,9143.7921
77,0.0000,304.5518,0.0000,9417.8887
78,0.0000,264.5072,0.0000,9655.9452
79,0.0000,242.5075,0.0000,9874.2020
80,0.0000,223.0756,0.0000,10074.9700
81,0.0000,198.7593,0.0000,10253.8534
82,0.0000,177.3598,0.0000,10413.4772
83,0.0000,151.7403,0.0000,10550.0435
84,0.0000,120.0350,0.0000,10658.0750
85,0.0000,87.8144,0.0000,10737.1080
86,0.0000,53.6249,0.0000,10785.3704
87,0.0000,16.2551,0.0000,10800.0000
88,0.0000,0.0000,23.7814,10773.5763
89,0.0000,0.0000,67.3200,10698.7762
90,112.0899,0.0000,0.0000,10698.7762
91,266.7327,112.4708,0.0000,10800.0000
92,197.5235,0.0000,0.0000,10800.0000
93,244.8140,0.0000,0.0000,10800.0000
94,295.5346,-0.0000,0.0000,10800.0000
95,345.7775,0.0000,0.0000,10800.0000
96,394.9315,0.0000,0.0000,10800.0000
97,445.4317,0.0000,0.0000,10800.0000
98,495.6966,0.0000,0.0000,10800.0000
99,547.1191,0.0000,0.0000,10800.0000
100,599.9854,0.0000,0.0000,10800.0000
101,635.4297,0.0000,0.0000,10800.0000
102,660.8307,-0.0000,0.0000,10800.0000
103,702.0369,-0.0000,0.0000,10800.0000
104,738.0658,-0.0000,0.0000,10800.0000
105,775.9447,0.0000,0.0000,10800.0000
106,826.0832,0.0000,0.0000,10800.0000
107,762.4228,0.0000,0.0000,10800.0000
108,636.9826,0.0000,-0.0000,10800.0000
109,531.8940,0.0000,109.2673,10678.5919
110,678.8305,0.0000,0.0000,10678.5919
111,686.2685,0.0000,0.0000,10678.5919
112,696.5044,0.0000,0.0000,10678.5919
113,0.0000,0.0000,704.6343,9895.6650
114,0.0000,0.0000,706.4840,9110.6827
115,0.0000,0.0000,707.4065,8324.6755
116,0.0000,0.0000,708.5530,7537.3944
117,0.0000,0.0000,709.4469,6749.1201
118,0.0000,0.0000,711.2324,5958.8618
119,0.0000,0.0000,711.6625,5168.1257
120,0.0000,0.0000,711.4450,4377.6312
121,0.0000,0.0000,713.7041,3584.6267
122,0.0000,0.0000,715.2841,2789.8665
123,0.0000,0.0000,715.2269,1995.1700
124,0.0000,0.0000,715.6530,1200.0000
125,715.8689,0.0000,0.0000,1200.0000
126,717.0051,0.0000,0.0000,1200.0000
127,720.1603,-0.0000,0.0000,1200.0000
128,717.0549,0.0000,0.0000,1200.0000
129,720.4460,0.0000,0.0000,1200.0000
130,738.1347,0.0000,-0.0000,1200.0000
131,671.6936,-0.0000,0.0000,1200.0000
132,1393.7903,833.3333,0.0000,1950.0000
133,1384.8989,833.3333,0.0000,2700.0000
134,568.8260,0.0000,0.0000,2700.0000
135,1396.9886,833.3333,0.0000,3450.0000
136,1397.7599,833.3333,0.0000,4200.0000
137,566.7474,0.0000,0.0000,4200.0000
138,1399.8738,833.3333,0.0000,4950.0000
139,567.8302,0.0000,0.0000,4950.0000
140,902.6920,333.3333,0.0000,5250.0000
141,1403.6635,833.3333,0.0000,6000.0000
142,571.6154,0.0000,0.0000,6000.0000
143,573.1768,0.0000,0.0000,6000.0000
144,574.1210,0.0000,0.0000,6000.0000
